project,language,filename,blank,comment,code
Projeto-Erebos,Python,.\clones\Projeto-Erebos\Code\ClientSide1.py,14,1,67
Projeto-Erebos,Python,.\clones\Projeto-Erebos\Code\ClientSide3.py,14,1,67
Projeto-Erebos,Python,.\clones\Projeto-Erebos\Code\ServerSide.py,8,0,45
Projeto-Erebos,Markdown,.\clones\Projeto-Erebos\README.md,14,0,15
Projeto-Erebos,XML,.\clones\Projeto-Erebos\.idea\Trabalho-Final-de-Sistemas-Operacionais.iml,0,0,8
Projeto-Erebos,XML,.\clones\Projeto-Erebos\.idea\modules.xml,0,0,8
Projeto-Erebos,XML,.\clones\Projeto-Erebos\.idea\inspectionProfiles\profiles_settings.xml,0,0,6
Projeto-Erebos,XML,.\clones\Projeto-Erebos\.idea\vcs.xml,0,0,6
Projeto-Erebos,XML,.\clones\Projeto-Erebos\.idea\misc.xml,0,0,4
