project,language,filename,blank,comment,code
redis,C,.\clones\redis\deps\hiredis\read.c,97,88,554
redis,Tcl/Tk,.\clones\redis\tests\support\server.tcl,99,90,549
redis,C,.\clones\redis\src\latency.c,97,125,538
redis,C,.\clones\redis\tests\modules\datatype2.c,116,89,534
redis,C,.\clones\redis\deps\lua\src\ldebug.c,83,23,532
redis,C,.\clones\redis\src\zmalloc.c,83,139,529
redis,C,.\clones\redis\deps\lua\src\lbaselib.c,102,28,523
redis,Markdown,.\clones\redis\deps\hiredis\README.md,142,0,516
redis,C,.\clones\redis\deps\jemalloc\src\pages.c,81,67,501
redis,C,.\clones\redis\src\anet.c,83,98,501
redis,Tcl/Tk,.\clones\redis\tests\unit\moduleapi\propagate.tcl,84,26,500
redis,Tcl/Tk,.\clones\redis\tests\unit\type\string.tcl,92,18,491
redis,Tcl/Tk,.\clones\redis\tests\unit\bitops.tcl,56,39,488
redis,C,.\clones\redis\deps\lua\src\lauxlib.c,131,36,485
redis,C,.\clones\redis\deps\jemalloc\test\unit\decay.c,76,45,484
redis,C,.\clones\redis\src\pubsub.c,76,174,473
redis,C,.\clones\redis\deps\jemalloc\test\unit\hook.c,71,38,471
redis,HTML,.\clones\redis\deps\lua\doc\contents.html,25,3,469
redis,C,.\clones\redis\deps\hiredis\net.c,80,68,464
redis,C,.\clones\redis\deps\lua\src\loadlib.c,135,70,461
redis,C,.\clones\redis\deps\jemalloc\test\src\SFMT.c,60,218,441
redis,m4,.\clones\redis\deps\jemalloc\m4\ax_cxx_compile_stdcxx.m4,116,6,440
redis,Tcl/Tk,.\clones\redis\tests\unit\keyspace.tcl,52,0,440
redis,C,.\clones\redis\src\blocked.c,82,303,433
redis,Tcl/Tk,.\clones\redis\tests\unit\maxmemory.tcl,72,75,426
redis,C,.\clones\redis\deps\lua\src\ldo.c,67,27,425
redis,C/C++ Header,.\clones\redis\deps\jemalloc\include\jemalloc\internal\extent_inlines.h,83,2,416
redis,C,.\clones\redis\deps\lua\src\liolib.c,106,36,414
redis,C,.\clones\redis\deps\lua\src\ltable.c,87,91,410
redis,C,.\clones\redis\src\intset.c,66,74,407
redis,C,.\clones\redis\src\sort.c,52,141,407
redis,Tcl/Tk,.\clones\redis\tests\integration\aof.tcl,66,46,406
redis,C,.\clones\redis\deps\jemalloc\src\base.c,49,60,405
redis,C,.\clones\redis\deps\jemalloc\test\unit\emitter.c,50,15,404
redis,Tcl/Tk,.\clones\redis\tests\unit\memefficiency.tcl,39,53,404
redis,C/C++ Header,.\clones\redis\deps\jemalloc\include\jemalloc\internal\rtree.h,53,80,395
redis,C,.\clones\redis\deps\jemalloc\src\tsd.c,55,93,386
redis,C,.\clones\redis\src\expire.c,87,278,386
redis,C,.\clones\redis\deps\lua\src\llex.c,61,17,385
redis,C,.\clones\redis\src\script.c,80,100,385
redis,C,.\clones\redis\tests\modules\blockonkeys.c,86,36,382
redis,C,.\clones\redis\deps\jemalloc\test\unit\bitmap.c,32,18,381
redis,C,.\clones\redis\src\tracking.c,53,204,379
redis,C/C++ Header,.\clones\redis\deps\jemalloc\include\jemalloc\internal\emitter.h,51,58,377
redis,Tcl/Tk,.\clones\redis\tests\integration\redis-cli.tcl,90,17,373
redis,Tcl/Tk,.\clones\redis\tests\unit\client-eviction.tcl,68,62,373
redis,C,.\clones\redis\deps\jemalloc\src\ckh.c,77,121,372
redis,C,.\clones\redis\src\modules\helloworld.c,93,156,372
redis,Markdown,.\clones\redis\README.md,138,0,365
redis,C,.\clones\redis\src\evict.c,83,326,360
redis,Tcl/Tk,.\clones\redis\tests\unit\acl-v2.tcl,72,28,356
redis,Tcl/Tk,.\clones\redis\tests\unit\introspection.tcl,77,65,355
redis,C,.\clones\redis\deps\hiredis\ssl.c,81,93,352
redis,XML,.\clones\redis\deps\jemalloc\msvc\projects\vc2015\jemalloc\jemalloc.vcxproj,0,0,350
redis,XML,.\clones\redis\deps\jemalloc\msvc\projects\vc2017\jemalloc\jemalloc.vcxproj,0,0,350
redis,make,.\clones\redis\src\Makefile,70,61,347
redis,C,.\clones\redis\src\function_lua.c,69,97,345
redis,C,.\clones\redis\deps\jemalloc\test\unit\math.c,35,11,344
redis,Tcl/Tk,.\clones\redis\tests\unit\dump.tcl,44,2,336
redis,C/C++ Header,.\clones\redis\deps\jemalloc\include\jemalloc\internal\arena_inlines_b.h,60,36,331
redis,C,.\clones\redis\deps\lua\src\ldblib.c,61,6,331
redis,C,.\clones\redis\src\ae.c,63,119,330
redis,C/C++ Header,.\clones\redis\deps\jemalloc\include\jemalloc\internal\ph.h,14,48,329
redis,Python,.\clones\redis\utils\generate-command-code.py,69,28,329
redis,XML,.\clones\redis\deps\jemalloc\msvc\projects\vc2015\test_threads\test_threads.vcxproj,0,0,327
redis,XML,.\clones\redis\deps\jemalloc\msvc\projects\vc2017\test_threads\test_threads.vcxproj,0,0,326
redis,C,.\clones\redis\deps\lua\src\lua.c,61,8,323
redis,C,.\clones\redis\deps\jemalloc\test\unit\stats.c,54,1,319
redis,Tcl/Tk,.\clones\redis\tests\unit\other.tcl,49,18,319
redis,C,.\clones\redis\src\zipmap.c,65,159,318
redis,Tcl/Tk,.\clones\redis\tests\unit\pubsub.tcl,51,26,316
redis,C,.\clones\redis\tests\modules\misc.c,43,2,311
redis,C,.\clones\redis\src\redis-check-rdb.c,40,82,310
redis,C,.\clones\redis\deps\jemalloc\src\zone.c,65,96,308
redis,C,.\clones\redis\deps\lua\src\lua_struct.c,57,64,308
redis,Tcl/Tk,.\clones\redis\tests\support\redis.tcl,33,43,304
redis,C/C++ Header,.\clones\redis\deps\jemalloc\test\include\test\test.h,33,5,300
redis,C,.\clones\redis\tests\modules\testrdb.c,44,9,300
redis,C,.\clones\redis\src\call_reply.c,52,165,299
redis,C,.\clones\redis\deps\jemalloc\src\large.c,52,49,294
redis,C,.\clones\redis\src\rio.c,58,135,292
redis,Tcl/Tk,.\clones\redis\tests\unit\sort.tcl,37,2,291
redis,C/C++ Header,.\clones\redis\src\cluster.h,42,75,286
redis,C,.\clones\redis\deps\jemalloc\test\integration\xallocx.c,72,27,285
redis,Markdown,.\clones\redis\deps\jemalloc\INSTALL.md,137,0,284
redis,Tcl/Tk,.\clones\redis\tests\support\cluster.tcl,31,54,282
redis,C/C++ Header,.\clones\redis\deps\jemalloc\include\jemalloc\internal\bitmap.h,35,54,280
redis,Tcl/Tk,.\clones\redis\tests\integration\psync2.tcl,40,58,280
redis,C,.\clones\redis\deps\jemalloc\test\unit\arena_reset.c,61,12,276
redis,C,.\clones\redis\deps\jemalloc\test\unit\rb.c,62,18,275
redis,C,.\clones\redis\src\memtest.c,37,66,274
redis,C,.\clones\redis\src\siphash.c,50,49,274
redis,Tcl/Tk,.\clones\redis\tests\integration\rdb.tcl,48,47,274
redis,Markdown,.\clones\redis\deps\hiredis\CHANGELOG.md,73,0,272
redis,C,.\clones\redis\tests\modules\propagate.c,83,48,272
redis,C,.\clones\redis\src\multi.c,55,102,271
redis,C,.\clones\redis\deps\jemalloc\test\unit\ph.c,41,10,267
redis,Tcl/Tk,.\clones\redis\tests\unit\scan.tcl,43,23,264
redis,C,.\clones\redis\deps\jemalloc\src\rtree.c,31,27,262
redis,C/C++ Header,.\clones\redis\deps\jemalloc\test\include\test\extent_hooks.h,25,7,257
redis,C,.\clones\redis\deps\jemalloc\test\integration\smallocx.c,39,18,255
redis,C/C++ Header,.\clones\redis\deps\lua\src\luaconf.h,156,355,252
redis,C/C++ Header,.\clones\redis\deps\jemalloc\include\jemalloc\internal\tsd.h,40,126,249
redis,make,.\clones\redis\deps\hiredis\Makefile,55,11,247
redis,C,.\clones\redis\tests\modules\hooks.c,49,42,247
redis,C,.\clones\redis\src\modules\hellotype.c,49,68,245
redis,C,.\clones\redis\src\cli_common.c,44,89,240
redis,C,.\clones\redis\src\redis-check-aof.c,27,35,239
redis,C/C++ Header,.\clones\redis\deps\jemalloc\include\jemalloc\internal\witness.h,60,50,237
redis,C,.\clones\redis\src\adlist.c,39,107,237
redis,C,.\clones\redis\src\connection.c,69,130,234
redis,C/C++ Header,.\clones\redis\deps\jemalloc\include\jemalloc\internal\hash.h,66,20,233
redis,C,.\clones\redis\deps\jemalloc\test\unit\extent_util.c,24,12,233
redis,C,.\clones\redis\deps\jemalloc\src\sc.c,25,56,232
redis,Tcl/Tk,.\clones\redis\tests\unit\info.tcl,23,3,232
redis,C,.\clones\redis\deps\lua\src\ltablib.c,39,18,230
redis,C,.\clones\redis\deps\jemalloc\test\unit\malloc_io.c,33,0,225
redis,C/C++ Header,.\clones\redis\deps\jemalloc\test\include\test\math.h,24,58,224
redis,C,.\clones\redis\deps\jemalloc\test\integration\mallocx.c,34,18,222
redis,C/C++ Header,.\clones\redis\src\sds.h,20,45,222
